Test_No,SEID,System_Error,Parameter,DateNum_Start,Start,Stop,Datenum_Stop,Max,Min,Mean,Std,Ppk
150325-2,5369,NOX_IN_SENSOR_DITHER_ERR,EONOx_SIR_Delta,736048.8789,42088.87847,42089.16111,736049.1612,925.4660645,722.6102905,851.3190214,57.55279545,4.930655495
150326-1,5369,NOX_IN_SENSOR_DITHER_ERR,EONOx_SIR_Delta,736049.3682,42089.36806,42089.65833,736049.659,965.8587646,790.9637451,858.5474243,57.61861419,4.966840643
150326-2,5369,NOX_IN_SENSOR_DITHER_ERR,EONOx_SIR_Delta,736049.9062,42089.90556,42090.15903,736050.1595,1171.58374,860.7784424,1036.754209,78.36379716,4.410004986
150327-1,5369,NOX_IN_SENSOR_DITHER_ERR,EONOx_SIR_Delta,736050.7049,42090.70486,42090.79375,736050.7944,1136.387695,969.9732666,1020.405212,53.23412347,6.389418076
150327-2,5369,NOX_IN_SENSOR_DITHER_ERR,EONOx_SIR_Delta,736050.9333,42090.93264,42091.31667,736051.3167,1837.1698,1519.384644,1648.09082,119.8885855,4.582284496
150328-1,5369,NOX_IN_SENSOR_DITHER_ERR,EONOx_SIR_Delta,736051.4252,42091.425,42091.67986,736051.6803,1942.055664,1665.828003,1831.39073,92.18709877,6.622006601
150330-2,5369,NOX_IN_SENSOR_DITHER_ERR,EONOx_SIR_Delta,736053.8453,42093.84514,42094.26389,736054.2641,,,,,
150331-1,5369,NOX_IN_SENSOR_DITHER_ERR,EONOx_SIR_Delta,736054.5166,42094.51597,42094.77083,736054.771,742.2035522,742.2035522,742.2035522,,
150331-2,5369,NOX_IN_SENSOR_DITHER_ERR,EONOx_SIR_Delta,736054.8722,42094.87153,42095.25903,736055.2591,1199.865723,782.1515503,956.666954,158.0932669,2.017094029
150401-1,5369,NOX_IN_SENSOR_DITHER_ERR,EONOx_SIR_Delta,736055.3587,42095.35833,42095.66111,736055.6615,985.1984863,702.6934814,842.9650879,98.03038534,2.866339469
150401-2,5369,NOX_IN_SENSOR_DITHER_ERR,EONOx_SIR_Delta,736055.9048,42095.90417,42096.29097,736056.2916,,,,,
150402-1,5369,NOX_IN_SENSOR_DITHER_ERR,EONOx_SIR_Delta,736056.4302,42096.42986,42096.78958,736056.7899,,,,,
150402-2,5369,NOX_IN_SENSOR_DITHER_ERR,EONOx_SIR_Delta,736056.8895,42096.88889,42097.22083,736057.2212,831.2846069,610.7398682,735.099589,112.9396116,2.169594821
150403-1,5369,NOX_IN_SENSOR_DITHER_ERR,EONOx_SIR_Delta,736057.4034,42097.40278,42097.74167,736057.7423,,,,,
150407-2,5369,NOX_IN_SENSOR_DITHER_ERR,EONOx_SIR_Delta,736061.8479,42101.84792,42102.03819,736062.0387,1518.812256,1249.508301,1384.160278,190.4266528,2.42291062
150408-2,5369,NOX_IN_SENSOR_DITHER_ERR,EONOx_SIR_Delta,736062.9547,42102.95417,42103.29097,736063.2915,1406.533081,1177.783569,1295.866778,63.73465133,6.777405755
150409-1,5369,NOX_IN_SENSOR_DITHER_ERR,EONOx_SIR_Delta,736063.5519,42103.55139,42103.79653,736063.7968,1465.818604,1063.943604,1298.160679,112.0521123,3.861776612
150409-2,5369,NOX_IN_SENSOR_DITHER_ERR,EONOx_SIR_Delta,736063.8545,42103.85417,42104.23194,736064.2325,882.9869995,882.9869995,882.9869995,,
150410-1,5369,NOX_IN_SENSOR_DITHER_ERR,EONOx_SIR_Delta,736064.3626,42104.3625,42104.7875,736064.7875,922.9353027,867.3231812,895.1292419,39.32370829,7.587697778
150410-2,5369,NOX_IN_SENSOR_DITHER_ERR,EONOx_SIR_Delta,736064.8574,42104.85694,42105.23125,736065.2313,1635.84021,1218.459106,1438.839331,151.3452317,3.169000471
150411-1,5369,NOX_IN_SENSOR_DITHER_ERR,EONOx_SIR_Delta,736065.3711,42105.37083,42105.65694,736065.6572,1626.868774,1333.943359,1497.644217,97.64645363,5.112471785
150413-2,5369,NOX_IN_SENSOR_DITHER_ERR,EONOx_SIR_Delta,736067.9015,42107.90139,42108.14514,736068.1455,1543.226196,1275.337158,1456.753311,88.95578464,5.458716811
150415-2,5369,NOX_IN_SENSOR_DITHER_ERR,EONOx_SIR_Delta,736069.8766,42109.87639,42110.12083,736070.1213,1871.111328,1871.111328,1871.111328,,
150416-1,5369,NOX_IN_SENSOR_DITHER_ERR,EONOx_SIR_Delta,736070.4074,42110.40694,42110.76458,736070.7646,1537.776123,1331.375854,1434.575989,145.9470295,3.276476389
150416-2,5369,NOX_IN_SENSOR_DITHER_ERR,EONOx_SIR_Delta,736070.8942,42110.89375,42111.18264,736071.1831,1029.612549,716.6089478,872.9998685,83.15322941,3.499562894
150417-1,5369,NOX_IN_SENSOR_DITHER_ERR,EONOx_SIR_Delta,736071.4539,42111.45347,42111.75833,736071.7585,1096.213745,685.3853149,891.5819045,120.7910346,2.460397572
150417-2,5369,NOX_IN_SENSOR_DITHER_ERR,EONOx_SIR_Delta,736071.8761,42111.87569,42112.29653,736072.2968,1775.672729,1098.49585,1505.579773,287.7021403,1.744373274
150418-1,5369,NOX_IN_SENSOR_DITHER_ERR,EONOx_SIR_Delta,736072.2803,42112.27986,42112.40764,736072.4078,1585.624634,1585.624634,1585.624634,,
150420-2,5369,NOX_IN_SENSOR_DITHER_ERR,EONOx_SIR_Delta,736074.863,42114.8625,42115.26875,736075.2693,1627.058716,1053.866089,1284.033966,259.5845725,1.648831893
