Test_No,SEID,System_Error,Parameter,DateNum_Start,Start,Stop,Datenum_Stop,Max,Min,Mean,Std,Ppk
150325-2,5366,NOX_IN_SENSOR_IR_LO_MOTOR_ERR,EONOx_IRL_Mot_Cusum_Value,736048.8789,42088.87847,42089.16111,736049.1612,91.56781006,0,10.27616693,20.66444368,17.9813508
150326-1,5366,NOX_IN_SENSOR_IR_LO_MOTOR_ERR,EONOx_IRL_Mot_Cusum_Value,736049.3682,42089.36806,42089.65833,736049.659,85.25587463,0,7.629871296,18.36826746,20.27718239
150326-2,5366,NOX_IN_SENSOR_IR_LO_MOTOR_ERR,EONOx_IRL_Mot_Cusum_Value,736049.9062,42089.90556,42090.15903,736050.1595,1.76657486,0,0.122968356,0.414266189,905.1161318
150327-1,5366,NOX_IN_SENSOR_IR_LO_MOTOR_ERR,EONOx_IRL_Mot_Cusum_Value,736050.7049,42090.70486,42090.79375,736050.7944,0,0,0,,
150327-2,5366,NOX_IN_SENSOR_IR_LO_MOTOR_ERR,EONOx_IRL_Mot_Cusum_Value,736050.9333,42090.93264,42091.31667,736051.3167,86.07321167,0,3.134407704,12.69329301,29.4608497
150328-1,5366,NOX_IN_SENSOR_IR_LO_MOTOR_ERR,EONOx_IRL_Mot_Cusum_Value,736051.4252,42091.425,42091.67986,736051.6803,189.6138458,0,12.34088674,28.50818727,13.00981951
150330-2,5366,NOX_IN_SENSOR_IR_LO_MOTOR_ERR,EONOx_IRL_Mot_Cusum_Value,736053.8453,42093.84514,42094.26389,736054.2641,,,,,
150331-1,5366,NOX_IN_SENSOR_IR_LO_MOTOR_ERR,EONOx_IRL_Mot_Cusum_Value,736054.5166,42094.51597,42094.77083,736054.771,0,0,0,,
150331-2,5366,NOX_IN_SENSOR_IR_LO_MOTOR_ERR,EONOx_IRL_Mot_Cusum_Value,736054.8722,42094.87153,42095.25903,736055.2591,65.65409088,0,3.517375109,9.897458183,37.77005517
150401-1,5366,NOX_IN_SENSOR_IR_LO_MOTOR_ERR,EONOx_IRL_Mot_Cusum_Value,736055.3587,42095.35833,42095.66111,736055.6615,47.87495041,0,2.012105366,6.588950039,56.81167652
150401-2,5366,NOX_IN_SENSOR_IR_LO_MOTOR_ERR,EONOx_IRL_Mot_Cusum_Value,736055.9048,42095.90417,42096.29097,736056.2916,,,,,
150402-1,5366,NOX_IN_SENSOR_IR_LO_MOTOR_ERR,EONOx_IRL_Mot_Cusum_Value,736056.4302,42096.42986,42096.78958,736056.7899,,,,,
150402-2,5366,NOX_IN_SENSOR_IR_LO_MOTOR_ERR,EONOx_IRL_Mot_Cusum_Value,736056.8895,42096.88889,42097.22083,736057.2212,0,0,0,0,
150403-1,5366,NOX_IN_SENSOR_IR_LO_MOTOR_ERR,EONOx_IRL_Mot_Cusum_Value,736057.4034,42097.40278,42097.74167,736057.7423,,,,,
150407-2,5366,NOX_IN_SENSOR_IR_LO_MOTOR_ERR,EONOx_IRL_Mot_Cusum_Value,736061.8479,42101.84792,42102.03819,736062.0387,27.39079666,0,0.636995271,4.177057331,89.72528709
150408-2,5366,NOX_IN_SENSOR_IR_LO_MOTOR_ERR,EONOx_IRL_Mot_Cusum_Value,736062.9547,42102.95417,42103.29097,736063.2915,3.836099625,0,0.317664699,0.978476041,383.140819
150409-1,5366,NOX_IN_SENSOR_IR_LO_MOTOR_ERR,EONOx_IRL_Mot_Cusum_Value,736063.5519,42103.55139,42103.79653,736063.7968,17.67773819,0,1.049166348,3.76705656,99.45438088
150409-2,5366,NOX_IN_SENSOR_IR_LO_MOTOR_ERR,EONOx_IRL_Mot_Cusum_Value,736063.8545,42103.85417,42104.23194,736064.2325,0,0,0,0,
150410-1,5366,NOX_IN_SENSOR_IR_LO_MOTOR_ERR,EONOx_IRL_Mot_Cusum_Value,736064.3626,42104.3625,42104.7875,736064.7875,0,0,0,0,
150410-2,5366,NOX_IN_SENSOR_IR_LO_MOTOR_ERR,EONOx_IRL_Mot_Cusum_Value,736064.8574,42104.85694,42105.23125,736065.2313,3.640339851,0,0.174411888,0.736260969,509.2513095
150411-1,5366,NOX_IN_SENSOR_IR_LO_MOTOR_ERR,EONOx_IRL_Mot_Cusum_Value,736065.3711,42105.37083,42105.65694,736065.6572,2.38895607,0,0.102729479,0.448536373,835.9762535
