Test_No,SEID,System_Error,Parameter,DateNum_Start,Start,Stop,Datenum_Stop,Max,Min,Mean,Std,Ppk
150403-1,5978,NOX_OUT_SENSOR_IR_LO_MOTOR_ERR,P_SCD_ppm_NOxOff_FiltTestResult_Lo,736057.4034,42097.40278,42097.74167,736057.7423,,,,,
150403-1,5978,NOX_OUT_SENSOR_IR_LO_MOTOR_ERR,V_SCD_ppm_AvgNOxOff_Decision,736057.4034,42097.40278,42097.74167,736057.7423,,,,,
150407-2,5978,NOX_OUT_SENSOR_IR_LO_MOTOR_ERR,P_SCD_ppm_NOxOff_FiltTestResult_Lo,736061.8479,42101.84792,42102.03819,736062.0387,,,,,
150407-2,5978,NOX_OUT_SENSOR_IR_LO_MOTOR_ERR,V_SCD_ppm_AvgNOxOff_Decision,736061.8479,42101.84792,42102.03819,736062.0387,,,,,
150408-2,5978,NOX_OUT_SENSOR_IR_LO_MOTOR_ERR,P_SCD_ppm_NOxOff_FiltTestResult_Lo,736062.9547,42102.95417,42103.29097,736063.2915,,,,,
150408-2,5978,NOX_OUT_SENSOR_IR_LO_MOTOR_ERR,V_SCD_ppm_AvgNOxOff_Decision,736062.9547,42102.95417,42103.29097,736063.2915,,,,,
150409-1,5978,NOX_OUT_SENSOR_IR_LO_MOTOR_ERR,P_SCD_ppm_NOxOff_FiltTestResult_Lo,736063.5519,42103.55139,42103.79653,736063.7968,,,,,
150409-1,5978,NOX_OUT_SENSOR_IR_LO_MOTOR_ERR,V_SCD_ppm_AvgNOxOff_Decision,736063.5519,42103.55139,42103.79653,736063.7968,,,,,
150409-2,5978,NOX_OUT_SENSOR_IR_LO_MOTOR_ERR,P_SCD_ppm_NOxOff_FiltTestResult_Lo,736063.8545,42103.85417,42104.23194,736064.2325,,,,,
150409-2,5978,NOX_OUT_SENSOR_IR_LO_MOTOR_ERR,V_SCD_ppm_AvgNOxOff_Decision,736063.8545,42103.85417,42104.23194,736064.2325,,,,,
150410-1,5978,NOX_OUT_SENSOR_IR_LO_MOTOR_ERR,P_SCD_ppm_NOxOff_FiltTestResult_Lo,736064.3626,42104.3625,42104.7875,736064.7875,,,,,
150410-1,5978,NOX_OUT_SENSOR_IR_LO_MOTOR_ERR,V_SCD_ppm_AvgNOxOff_Decision,736064.3626,42104.3625,42104.7875,736064.7875,,,,,
150410-2,5978,NOX_OUT_SENSOR_IR_LO_MOTOR_ERR,P_SCD_ppm_NOxOff_FiltTestResult_Lo,736064.8574,42104.85694,42105.23125,736065.2313,8.34963131,-4.094037533,-1.32036134,2.525105073,3.785933368
150410-2,5978,NOX_OUT_SENSOR_IR_LO_MOTOR_ERR,V_SCD_ppm_AvgNOxOff_Decision,736064.8574,42104.85694,42105.23125,736065.2313,8.34963131,-4.094037533,-1.32036134,2.525105073,
150411-1,5978,NOX_OUT_SENSOR_IR_LO_MOTOR_ERR,P_SCD_ppm_NOxOff_FiltTestResult_Lo,736065.3711,42105.37083,42105.65694,736065.6572,92.86000824,-3.792778969,9.692901397,24.37153176,0.542886153
150411-1,5978,NOX_OUT_SENSOR_IR_LO_MOTOR_ERR,V_SCD_ppm_AvgNOxOff_Decision,736065.3711,42105.37083,42105.65694,736065.6572,92.86000824,-3.792778969,9.692901397,24.37153176,
150413-2,5978,NOX_OUT_SENSOR_IR_LO_MOTOR_ERR,P_SCD_ppm_NOxOff_FiltTestResult_Lo,736067.9015,42107.90139,42108.14514,736068.1455,4.215228081,-5.503474712,-3.229265499,1.961779765,4.548715573
150413-2,5978,NOX_OUT_SENSOR_IR_LO_MOTOR_ERR,V_SCD_ppm_AvgNOxOff_Decision,736067.9015,42107.90139,42108.14514,736068.1455,4.215228081,-5.503474712,-3.229265499,1.961779765,
150415-2,5978,NOX_OUT_SENSOR_IR_LO_MOTOR_ERR,P_SCD_ppm_NOxOff_FiltTestResult_Lo,736069.8766,42109.87639,42110.12083,736070.1213,,,,,
150415-2,5978,NOX_OUT_SENSOR_IR_LO_MOTOR_ERR,V_SCD_ppm_AvgNOxOff_Decision,736069.8766,42109.87639,42110.12083,736070.1213,,,,,
150416-1,5978,NOX_OUT_SENSOR_IR_LO_MOTOR_ERR,P_SCD_ppm_NOxOff_FiltTestResult_Lo,736070.4074,42110.40694,42110.76458,736070.7646,,,,,
150416-1,5978,NOX_OUT_SENSOR_IR_LO_MOTOR_ERR,V_SCD_ppm_AvgNOxOff_Decision,736070.4074,42110.40694,42110.76458,736070.7646,,,,,
150416-2,5978,NOX_OUT_SENSOR_IR_LO_MOTOR_ERR,P_SCD_ppm_NOxOff_FiltTestResult_Lo,736070.8942,42110.89375,42111.18264,736071.1831,-0.730997622,-3.414352179,-2.041441697,0.810639911,11.49649715
150416-2,5978,NOX_OUT_SENSOR_IR_LO_MOTOR_ERR,V_SCD_ppm_AvgNOxOff_Decision,736070.8942,42110.89375,42111.18264,736071.1831,-0.730997622,-3.414352179,-2.041441697,0.810639911,
150417-1,5978,NOX_OUT_SENSOR_IR_LO_MOTOR_ERR,P_SCD_ppm_NOxOff_FiltTestResult_Lo,736071.4539,42111.45347,42111.75833,736071.7585,2.422112465,-4.226074696,-1.303445804,1.389623984,6.883529773
150417-1,5978,NOX_OUT_SENSOR_IR_LO_MOTOR_ERR,V_SCD_ppm_AvgNOxOff_Decision,736071.4539,42111.45347,42111.75833,736071.7585,2.422112465,-4.226074696,-1.303445804,1.389623984,
150417-2,5978,NOX_OUT_SENSOR_IR_LO_MOTOR_ERR,P_SCD_ppm_NOxOff_FiltTestResult_Lo,736071.8761,42111.87569,42112.29653,736072.2968,1.948199511,-5.766633511,-2.718712785,1.366693121,6.653843696
150417-2,5978,NOX_OUT_SENSOR_IR_LO_MOTOR_ERR,V_SCD_ppm_AvgNOxOff_Decision,736071.8761,42111.87569,42112.29653,736072.2968,1.948199511,-5.766633511,-2.718712785,1.366693121,
150418-1,5978,NOX_OUT_SENSOR_IR_LO_MOTOR_ERR,P_SCD_ppm_NOxOff_FiltTestResult_Lo,736072.2803,42112.27986,42112.40764,736072.4078,-3.521702528,-6.386070251,-4.79531845,0.795047499,10.56736928
150418-1,5978,NOX_OUT_SENSOR_IR_LO_MOTOR_ERR,V_SCD_ppm_AvgNOxOff_Decision,736072.2803,42112.27986,42112.40764,736072.4078,-3.521702528,-6.386070251,-4.79531845,0.795047499,
150420-2,5978,NOX_OUT_SENSOR_IR_LO_MOTOR_ERR,P_SCD_ppm_NOxOff_FiltTestResult_Lo,736074.863,42114.8625,42115.26875,736075.2693,0.186435968,-7.326683044,-4.473628346,1.552740589,5.479853242
150420-2,5978,NOX_OUT_SENSOR_IR_LO_MOTOR_ERR,V_SCD_ppm_AvgNOxOff_Decision,736074.863,42114.8625,42115.26875,736075.2693,0.186435968,-7.326683044,-4.473628346,1.552740589,
150526-1,5978,NOX_OUT_SENSOR_IR_LO_MOTOR_ERR,P_SCD_ppm_NOxOff_FiltTestResult_Lo,736110.8112,42150.81111,42150.84306,736110.8431,,,,,
150526-1,5978,NOX_OUT_SENSOR_IR_LO_MOTOR_ERR,V_SCD_ppm_AvgNOxOff_Decision,736110.8112,42150.81111,42150.84306,736110.8431,,,,,
150603-2,5978,NOX_OUT_SENSOR_IR_LO_MOTOR_ERR,P_SCD_ppm_NOxOff_FiltTestResult_Lo,736118.9397,42158.93958,42159.23333,736119.2336,-8.657234192,-12.31845093,-10.55301476,1.21799505,5.322130345
150603-2,5978,NOX_OUT_SENSOR_IR_LO_MOTOR_ERR,V_SCD_ppm_AvgNOxOff_Decision,736118.9397,42158.93958,42159.23333,736119.2336,-8.657234192,-12.31845093,-10.55301476,1.21799505,
150604-1,5978,NOX_OUT_SENSOR_IR_LO_MOTOR_ERR,P_SCD_ppm_NOxOff_FiltTestResult_Lo,736119.5425,42159.54236,42159.75347,736119.7539,,,,,
150604-1,5978,NOX_OUT_SENSOR_IR_LO_MOTOR_ERR,V_SCD_ppm_AvgNOxOff_Decision,736119.5425,42159.54236,42159.75347,736119.7539,,,,,
150604-2,5978,NOX_OUT_SENSOR_IR_LO_MOTOR_ERR,P_SCD_ppm_NOxOff_FiltTestResult_Lo,736119.9097,42159.90903,42160.30069,736120.3007,13.23480797,6.805208683,8.309490613,1.54414841,8.269820519
150604-2,5978,NOX_OUT_SENSOR_IR_LO_MOTOR_ERR,V_SCD_ppm_AvgNOxOff_Decision,736119.9097,42159.90903,42160.30069,736120.3007,13.23480797,6.805208683,8.309490613,1.54414841,
150605-1,5978,NOX_OUT_SENSOR_IR_LO_MOTOR_ERR,P_SCD_ppm_NOxOff_FiltTestResult_Lo,736120.4107,42160.41042,42160.70833,736120.7085,9.925891876,7.2176404,8.723319769,0.751148549,17.1840487
150605-1,5978,NOX_OUT_SENSOR_IR_LO_MOTOR_ERR,V_SCD_ppm_AvgNOxOff_Decision,736120.4107,42160.41042,42160.70833,736120.7085,9.925891876,7.2176404,8.723319769,0.751148549,
150605-2,5978,NOX_OUT_SENSOR_IR_LO_MOTOR_ERR,P_SCD_ppm_NOxOff_FiltTestResult_Lo,736120.8431,42160.84306,42160.95903,736120.9591,,,,,
150605-2,5978,NOX_OUT_SENSOR_IR_LO_MOTOR_ERR,V_SCD_ppm_AvgNOxOff_Decision,736120.8431,42160.84306,42160.95903,736120.9591,,,,,
150624-2,5978,NOX_OUT_SENSOR_IR_LO_MOTOR_ERR,P_SCD_ppm_NOxOff_FiltTestResult_Lo,736139.8491,42179.84861,42180.32569,736140.3258,,,,,
150624-2,5978,NOX_OUT_SENSOR_IR_LO_MOTOR_ERR,V_SCD_ppm_AvgNOxOff_Decision,736139.8491,42179.84861,42180.32569,736140.3258,,,,,
150625-2,5978,NOX_OUT_SENSOR_IR_LO_MOTOR_ERR,P_SCD_ppm_NOxOff_FiltTestResult_Lo,736140.8805,42180.87986,42181.32361,736141.324,15.23627186,6.731484413,8.789174643,1.549703206,8.343355573
150625-2,5978,NOX_OUT_SENSOR_IR_LO_MOTOR_ERR,V_SCD_ppm_AvgNOxOff_Decision,736140.8805,42180.87986,42181.32361,736141.324,15.23627186,6.731484413,8.789174643,1.549703206,
150627-1,5978,NOX_OUT_SENSOR_IR_LO_MOTOR_ERR,P_SCD_ppm_NOxOff_FiltTestResult_Lo,736142.538,42182.5375,42182.90486,736142.9049,-4.904890537,-13.57282352,-11.3283095,1.339391067,4.646810766
150627-1,5978,NOX_OUT_SENSOR_IR_LO_MOTOR_ERR,V_SCD_ppm_AvgNOxOff_Decision,736142.538,42182.5375,42182.90486,736142.9049,-4.904890537,-13.57282352,-11.3283095,1.339391067,
150629-2,5978,NOX_OUT_SENSOR_IR_LO_MOTOR_ERR,P_SCD_ppm_NOxOff_FiltTestResult_Lo,736144.8669,42184.86667,42185.08264,736145.0828,,,,,
150629-2,5978,NOX_OUT_SENSOR_IR_LO_MOTOR_ERR,V_SCD_ppm_AvgNOxOff_Decision,736144.8669,42184.86667,42185.08264,736145.0828,,,,,
150630-2,5978,NOX_OUT_SENSOR_IR_LO_MOTOR_ERR,P_SCD_ppm_NOxOff_FiltTestResult_Lo,736145.8861,42185.88542,42186.27083,736146.2714,10.81802082,6.549706936,8.13708402,0.915941975,13.87900291
150630-2,5978,NOX_OUT_SENSOR_IR_LO_MOTOR_ERR,V_SCD_ppm_AvgNOxOff_Decision,736145.8861,42185.88542,42186.27083,736146.2714,10.81802082,6.549706936,8.13708402,0.915941975,
150701-2,5978,NOX_OUT_SENSOR_IR_LO_MOTOR_ERR,P_SCD_ppm_NOxOff_FiltTestResult_Lo,736146.9103,42186.90972,42187.34444,736147.3448,10.93400192,5.454534531,8.151296591,0.974726759,13.04683466
150701-2,5978,NOX_OUT_SENSOR_IR_LO_MOTOR_ERR,V_SCD_ppm_AvgNOxOff_Decision,736146.9103,42186.90972,42187.34444,736147.3448,10.93400192,5.454534531,8.151296591,0.974726759,
150702-1,5978,NOX_OUT_SENSOR_IR_LO_MOTOR_ERR,P_SCD_ppm_NOxOff_FiltTestResult_Lo,736147.3809,42187.38056,42187.8125,736147.8128,20.36484528,6.77463007,8.365361287,1.645648854,7.771070805
150702-1,5978,NOX_OUT_SENSOR_IR_LO_MOTOR_ERR,V_SCD_ppm_AvgNOxOff_Decision,736147.3809,42187.38056,42187.8125,736147.8128,20.36484528,6.77463007,8.365361287,1.645648854,
150702-2,5978,NOX_OUT_SENSOR_IR_LO_MOTOR_ERR,P_SCD_ppm_NOxOff_FiltTestResult_Lo,736147.8734,42187.87292,42188.33125,736148.3317,98.7027359,8.151147842,15.10510878,15.21155906,0.988395482
150702-2,5978,NOX_OUT_SENSOR_IR_LO_MOTOR_ERR,V_SCD_ppm_AvgNOxOff_Decision,736147.8734,42187.87292,42188.33125,736148.3317,98.7027359,8.151147842,15.10510878,15.21155906,
150703-1,5978,NOX_OUT_SENSOR_IR_LO_MOTOR_ERR,P_SCD_ppm_NOxOff_FiltTestResult_Lo,736148.7864,42188.78611,42188.93889,736148.9391,13.95201015,9.971525192,10.94859047,1.315253099,10.37787341
150703-1,5978,NOX_OUT_SENSOR_IR_LO_MOTOR_ERR,V_SCD_ppm_AvgNOxOff_Decision,736148.7864,42188.78611,42188.93889,736148.9391,13.95201015,9.971525192,10.94859047,1.315253099,
150706-2,5978,NOX_OUT_SENSOR_IR_LO_MOTOR_ERR,P_SCD_ppm_NOxOff_FiltTestResult_Lo,736151.8348,42191.83472,42192.23125,736152.2313,18.75213814,6.952344894,9.238824099,2.189708313,5.973219336
150706-2,5978,NOX_OUT_SENSOR_IR_LO_MOTOR_ERR,V_SCD_ppm_AvgNOxOff_Decision,736151.8348,42191.83472,42192.23125,736152.2313,18.75213814,6.952344894,9.238824099,2.189708313,
150707-1,5978,NOX_OUT_SENSOR_IR_LO_MOTOR_ERR,P_SCD_ppm_NOxOff_FiltTestResult_Lo,736152.3646,42192.36389,42192.79236,736152.7928,40.86284256,6.539129257,9.721495897,4.476847891,2.957549364
150707-1,5978,NOX_OUT_SENSOR_IR_LO_MOTOR_ERR,V_SCD_ppm_AvgNOxOff_Decision,736152.3646,42192.36389,42192.79236,736152.7928,40.86284256,6.539129257,9.721495897,4.476847891,
150707-2,5978,NOX_OUT_SENSOR_IR_LO_MOTOR_ERR,P_SCD_ppm_NOxOff_FiltTestResult_Lo,736152.8775,42192.87708,42193.34167,736153.3418,10.98400974,5.734640121,8.230465073,1.152556593,11.05671378
150707-2,5978,NOX_OUT_SENSOR_IR_LO_MOTOR_ERR,V_SCD_ppm_AvgNOxOff_Decision,736152.8775,42192.87708,42193.34167,736153.3418,10.98400974,5.734640121,8.230465073,1.152556593,
150708-1,5978,NOX_OUT_SENSOR_IR_LO_MOTOR_ERR,P_SCD_ppm_NOxOff_FiltTestResult_Lo,736153.4391,42193.43889,42193.78958,736153.79,10.13176632,6.356757164,7.650867414,1.26273226,9.938994623
150708-1,5978,NOX_OUT_SENSOR_IR_LO_MOTOR_ERR,V_SCD_ppm_AvgNOxOff_Decision,736153.4391,42193.43889,42193.78958,736153.79,10.13176632,6.356757164,7.650867414,1.26273226,
150708-2,5978,NOX_OUT_SENSOR_IR_LO_MOTOR_ERR,P_SCD_ppm_NOxOff_FiltTestResult_Lo,736153.8883,42193.88819,42194.16458,736154.1648,,,,,
150708-2,5978,NOX_OUT_SENSOR_IR_LO_MOTOR_ERR,V_SCD_ppm_AvgNOxOff_Decision,736153.8883,42193.88819,42194.16458,736154.1648,,,,,
150709-1,5978,NOX_OUT_SENSOR_IR_LO_MOTOR_ERR,P_SCD_ppm_NOxOff_FiltTestResult_Lo,736154.4115,42194.41111,42194.81042,736154.8104,,,,,
150709-1,5978,NOX_OUT_SENSOR_IR_LO_MOTOR_ERR,V_SCD_ppm_AvgNOxOff_Decision,736154.4115,42194.41111,42194.81042,736154.8104,,,,,
150709-2,5978,NOX_OUT_SENSOR_IR_LO_MOTOR_ERR,P_SCD_ppm_NOxOff_FiltTestResult_Lo,736154.8817,42194.88125,42195.28472,736155.2848,1.545994639,-4.107489109,-1.850912621,1.215112677,7.721941595
150709-2,5978,NOX_OUT_SENSOR_IR_LO_MOTOR_ERR,V_SCD_ppm_AvgNOxOff_Decision,736154.8817,42194.88125,42195.28472,736155.2848,1.545994639,-4.107489109,-1.850912621,1.215112677,
150710-1,5978,NOX_OUT_SENSOR_IR_LO_MOTOR_ERR,P_SCD_ppm_NOxOff_FiltTestResult_Lo,736155.3704,42195.37014,42195.76528,736155.7656,0.113866381,-4.357554436,-2.061225862,0.770258335,12.09065101
150710-1,5978,NOX_OUT_SENSOR_IR_LO_MOTOR_ERR,V_SCD_ppm_AvgNOxOff_Decision,736155.3704,42195.37014,42195.76528,736155.7656,0.113866381,-4.357554436,-2.061225862,0.770258335,
150710-2,5978,NOX_OUT_SENSOR_IR_LO_MOTOR_ERR,P_SCD_ppm_NOxOff_FiltTestResult_Lo,736155.8801,42195.87986,42196.17847,736156.1786,8.329180717,6.892226219,7.623134931,0.489597651,25.61500233
150710-2,5978,NOX_OUT_SENSOR_IR_LO_MOTOR_ERR,V_SCD_ppm_AvgNOxOff_Decision,736155.8801,42195.87986,42196.17847,736156.1786,8.329180717,6.892226219,7.623134931,0.489597651,
150711-1,5978,NOX_OUT_SENSOR_IR_LO_MOTOR_ERR,P_SCD_ppm_NOxOff_FiltTestResult_Lo,736156.4595,42196.45903,42196.73611,736156.7364,21.05114555,7.110999107,9.74127841,4.451887671,2.975612545
150711-1,5978,NOX_OUT_SENSOR_IR_LO_MOTOR_ERR,V_SCD_ppm_AvgNOxOff_Decision,736156.4595,42196.45903,42196.73611,736156.7364,21.05114555,7.110999107,9.74127841,4.451887671,
150713-2,5978,NOX_OUT_SENSOR_IR_LO_MOTOR_ERR,P_SCD_ppm_NOxOff_FiltTestResult_Lo,736158.8608,42198.86042,42199.275,736159.2751,,,,,
150713-2,5978,NOX_OUT_SENSOR_IR_LO_MOTOR_ERR,V_SCD_ppm_AvgNOxOff_Decision,736158.8608,42198.86042,42199.275,736159.2751,,,,,
150715-2,5978,NOX_OUT_SENSOR_IR_LO_MOTOR_ERR,P_SCD_ppm_NOxOff_FiltTestResult_Lo,736160.8766,42200.87639,42201.34236,736161.3426,,,,,
150715-2,5978,NOX_OUT_SENSOR_IR_LO_MOTOR_ERR,V_SCD_ppm_AvgNOxOff_Decision,736160.8766,42200.87639,42201.34236,736161.3426,,,,,
150716-1,5978,NOX_OUT_SENSOR_IR_LO_MOTOR_ERR,P_SCD_ppm_NOxOff_FiltTestResult_Lo,736161.4475,42201.44722,42201.74514,736161.7455,,,,,
150716-1,5978,NOX_OUT_SENSOR_IR_LO_MOTOR_ERR,V_SCD_ppm_AvgNOxOff_Decision,736161.4475,42201.44722,42201.74514,736161.7455,,,,,
150716-2,5978,NOX_OUT_SENSOR_IR_LO_MOTOR_ERR,P_SCD_ppm_NOxOff_FiltTestResult_Lo,736161.9004,42201.9,42202.30694,736162.3072,-9.978055954,-13.68350983,-12.14284005,0.682216297,8.725072494
150716-2,5978,NOX_OUT_SENSOR_IR_LO_MOTOR_ERR,V_SCD_ppm_AvgNOxOff_Decision,736161.9004,42201.9,42202.30694,736162.3072,-9.978055954,-13.68350983,-12.14284005,0.682216297,
