Test_No,SEID,System_Error,Parameter,DateNum_Start,Start,Stop,Datenum_Stop,Max,Min,Mean,Std,Ppk
150325-2,5365,NOX_IN_SENSOR_IR_HI_MOTOR_ERR,EONOx_IRH_Mot_Cusum_Value,736048.8789,42088.87847,42089.16111,736049.1612,299.1402893,0,19.57618897,46.70792609,15.02545704
150326-1,5365,NOX_IN_SENSOR_IR_HI_MOTOR_ERR,EONOx_IRH_Mot_Cusum_Value,736049.3682,42089.36806,42089.65833,736049.659,44.64670181,0,2.479442165,8.534401635,82.90058083
150326-2,5365,NOX_IN_SENSOR_IR_HI_MOTOR_ERR,EONOx_IRH_Mot_Cusum_Value,736049.9062,42089.90556,42090.15903,736050.1595,1.311735153,0,0.062463579,0.286244078,2474.505387
150327-1,5365,NOX_IN_SENSOR_IR_HI_MOTOR_ERR,EONOx_IRH_Mot_Cusum_Value,736050.7049,42090.70486,42090.79375,736050.7944,0,0,0,,
150327-2,5365,NOX_IN_SENSOR_IR_HI_MOTOR_ERR,EONOx_IRH_Mot_Cusum_Value,736050.9333,42090.93264,42091.31667,736051.3167,54.97741699,0,4.358929707,12.22822447,57.80727678
150328-1,5365,NOX_IN_SENSOR_IR_HI_MOTOR_ERR,EONOx_IRH_Mot_Cusum_Value,736051.4252,42091.425,42091.67986,736051.6803,113.5308685,0,9.615942408,25.671823,27.46700221
150330-2,5365,NOX_IN_SENSOR_IR_HI_MOTOR_ERR,EONOx_IRH_Mot_Cusum_Value,736053.8453,42093.84514,42094.26389,736054.2641,,,,,
150331-1,5365,NOX_IN_SENSOR_IR_HI_MOTOR_ERR,EONOx_IRH_Mot_Cusum_Value,736054.5166,42094.51597,42094.77083,736054.771,0,0,0,,
150331-2,5365,NOX_IN_SENSOR_IR_HI_MOTOR_ERR,EONOx_IRH_Mot_Cusum_Value,736054.8722,42094.87153,42095.25903,736055.2591,49.91824341,0,1.592747481,6.186188572,114.4165603
150401-1,5365,NOX_IN_SENSOR_IR_HI_MOTOR_ERR,EONOx_IRH_Mot_Cusum_Value,736055.3587,42095.35833,42095.66111,736055.6615,70.43603516,0,2.550975067,10.47772229,67.52259591
