Test_No,SEID,System_Error,Parameter,DateNum_Start,Start,Stop,Datenum_Stop,Max,Min,Mean,Std,Ppk
150325-2,12493,SCR_EFFICIENCY4_DEGRADED_ERR,P_SCDE_CE4_EWMA_FiltVal,736048.8789,42088.87847,42089.16111,736049.1612,,,,,
150326-1,12493,SCR_EFFICIENCY4_DEGRADED_ERR,P_SCDE_CE4_EWMA_FiltVal,736049.3682,42089.36806,42089.65833,736049.659,,,,,
150326-2,12493,SCR_EFFICIENCY4_DEGRADED_ERR,P_SCDE_CE4_EWMA_FiltVal,736049.9062,42089.90556,42090.15903,736050.1595,,,,,
150327-1,12493,SCR_EFFICIENCY4_DEGRADED_ERR,P_SCDE_CE4_EWMA_FiltVal,736050.7049,42090.70486,42090.79375,736050.7944,,,,,
150327-2,12493,SCR_EFFICIENCY4_DEGRADED_ERR,P_SCDE_CE4_EWMA_FiltVal,736050.9333,42090.93264,42091.31667,736051.3167,7.435836315,0.00062958,1.812641283,1.791836204,185.6917049
150328-1,12493,SCR_EFFICIENCY4_DEGRADED_ERR,P_SCDE_CE4_EWMA_FiltVal,736051.4252,42091.425,42091.67986,736051.6803,5.408560276,0.597719431,2.879979968,1.487346409,223.4673361
150330-2,12493,SCR_EFFICIENCY4_DEGRADED_ERR,P_SCDE_CE4_EWMA_FiltVal,736053.8453,42093.84514,42094.26389,736054.2641,,,,,
150331-1,12493,SCR_EFFICIENCY4_DEGRADED_ERR,P_SCDE_CE4_EWMA_FiltVal,736054.5166,42094.51597,42094.77083,736054.771,,,,,
150331-2,12493,SCR_EFFICIENCY4_DEGRADED_ERR,P_SCDE_CE4_EWMA_FiltVal,736054.8722,42094.87153,42095.25903,736055.2591,,,,,
150401-1,12493,SCR_EFFICIENCY4_DEGRADED_ERR,P_SCDE_CE4_EWMA_FiltVal,736055.3587,42095.35833,42095.66111,736055.6615,,,,,
150401-2,12493,SCR_EFFICIENCY4_DEGRADED_ERR,P_SCDE_CE4_EWMA_FiltVal,736055.9048,42095.90417,42096.29097,736056.2916,,,,,
150402-1,12493,SCR_EFFICIENCY4_DEGRADED_ERR,P_SCDE_CE4_EWMA_FiltVal,736056.4302,42096.42986,42096.78958,736056.7899,,,,,
150402-2,12493,SCR_EFFICIENCY4_DEGRADED_ERR,P_SCDE_CE4_EWMA_FiltVal,736056.8895,42096.88889,42097.22083,736057.2212,,,,,
150403-1,12493,SCR_EFFICIENCY4_DEGRADED_ERR,P_SCDE_CE4_EWMA_FiltVal,736057.4034,42097.40278,42097.74167,736057.7423,,,,,
150407-2,12493,SCR_EFFICIENCY4_DEGRADED_ERR,P_SCDE_CE4_EWMA_FiltVal,736061.8479,42101.84792,42102.03819,736062.0387,7.814312458,0.439130545,3.949138135,2.129254794,155.9310585
150408-2,12493,SCR_EFFICIENCY4_DEGRADED_ERR,P_SCDE_CE4_EWMA_FiltVal,736062.9547,42102.95417,42103.29097,736063.2915,,,,,
150409-1,12493,SCR_EFFICIENCY4_DEGRADED_ERR,P_SCDE_CE4_EWMA_FiltVal,736063.5519,42103.55139,42103.79653,736063.7968,,,,,
150409-2,12493,SCR_EFFICIENCY4_DEGRADED_ERR,P_SCDE_CE4_EWMA_FiltVal,736063.8545,42103.85417,42104.23194,736064.2325,,,,,
150410-1,12493,SCR_EFFICIENCY4_DEGRADED_ERR,P_SCDE_CE4_EWMA_FiltVal,736064.3626,42104.3625,42104.7875,736064.7875,,,,,
150410-2,12493,SCR_EFFICIENCY4_DEGRADED_ERR,P_SCDE_CE4_EWMA_FiltVal,736064.8574,42104.85694,42105.23125,736065.2313,,,,,
150411-1,12493,SCR_EFFICIENCY4_DEGRADED_ERR,P_SCDE_CE4_EWMA_FiltVal,736065.3711,42105.37083,42105.65694,736065.6572,14.8654604,12.78142929,13.82344484,1.473632527,223.071568
150413-2,12493,SCR_EFFICIENCY4_DEGRADED_ERR,P_SCDE_CE4_EWMA_FiltVal,736067.9015,42107.90139,42108.14514,736068.1455,6.056245327,1.567084432,4.294994421,1.148450333,288.9995841
150415-2,12493,SCR_EFFICIENCY4_DEGRADED_ERR,P_SCDE_CE4_EWMA_FiltVal,736069.8766,42109.87639,42110.12083,736070.1213,,,,,
150416-1,12493,SCR_EFFICIENCY4_DEGRADED_ERR,P_SCDE_CE4_EWMA_FiltVal,736070.4074,42110.40694,42110.76458,736070.7646,,,,,
150416-2,12493,SCR_EFFICIENCY4_DEGRADED_ERR,P_SCDE_CE4_EWMA_FiltVal,736070.8942,42110.89375,42111.18264,736071.1831,,,,,
150417-1,12493,SCR_EFFICIENCY4_DEGRADED_ERR,P_SCDE_CE4_EWMA_FiltVal,736071.4539,42111.45347,42111.75833,736071.7585,,,,,
150417-2,12493,SCR_EFFICIENCY4_DEGRADED_ERR,P_SCDE_CE4_EWMA_FiltVal,736071.8761,42111.87569,42112.29653,736072.2968,6.129378319,0.219399169,2.907546519,1.581529546,210.1536148
150418-1,12493,SCR_EFFICIENCY4_DEGRADED_ERR,P_SCDE_CE4_EWMA_FiltVal,736072.2803,42112.27986,42112.40764,736072.4078,3.537334681,0.488179922,1.880166554,0.784400611,424.1539417
150420-2,12493,SCR_EFFICIENCY4_DEGRADED_ERR,P_SCDE_CE4_EWMA_FiltVal,736074.863,42114.8625,42115.26875,736075.2693,5.937317371,3.62069E-08,2.549886409,1.55783998,213.4258816
150526-1,12493,SCR_EFFICIENCY4_DEGRADED_ERR,P_SCDE_CE4_EWMA_FiltVal,736110.8112,42150.81111,42150.84306,736110.8431,,,,,
150603-2,12493,SCR_EFFICIENCY4_DEGRADED_ERR,P_SCDE_CE4_EWMA_FiltVal,736118.9397,42158.93958,42159.23333,736119.2336,5.907804012,0.000477666,1.494177269,1.35816936,245.0616867
150604-1,12493,SCR_EFFICIENCY4_DEGRADED_ERR,P_SCDE_CE4_EWMA_FiltVal,736119.5425,42159.54236,42159.75347,736119.7539,4.545079231,0.015711732,1.315938254,1.197837298,277.9131088
150604-2,12493,SCR_EFFICIENCY4_DEGRADED_ERR,P_SCDE_CE4_EWMA_FiltVal,736119.9097,42159.90903,42160.30069,736120.3007,22.83374596,0.548150837,5.440591926,3.110576234,106.57826
150605-1,12493,SCR_EFFICIENCY4_DEGRADED_ERR,P_SCDE_CE4_EWMA_FiltVal,736120.4107,42160.41042,42160.70833,736120.7085,4.044528008,0.96385479,2.389366329,0.768083876,432.9434432
150605-2,12493,SCR_EFFICIENCY4_DEGRADED_ERR,P_SCDE_CE4_EWMA_FiltVal,736120.8431,42160.84306,42160.95903,736120.9591,2.87630105,1.163317442,1.905814946,0.763369268,435.8284723
150624-2,12493,SCR_EFFICIENCY4_DEGRADED_ERR,P_SCDE_CE4_EWMA_FiltVal,736139.8491,42179.84861,42180.32569,736140.3258,8.002591133,0.274070621,1.74674869,1.677524757,198.3583743
150625-2,12493,SCR_EFFICIENCY4_DEGRADED_ERR,P_SCDE_CE4_EWMA_FiltVal,736140.8805,42180.87986,42181.32361,736141.324,30.01986313,2.063160419,9.747153859,5.010529301,65.87812628
150627-1,12493,SCR_EFFICIENCY4_DEGRADED_ERR,P_SCDE_CE4_EWMA_FiltVal,736142.538,42182.5375,42182.90486,736142.9049,16.9855423,0.463098824,4.828857802,3.034552413,109.3155329
150629-2,12493,SCR_EFFICIENCY4_DEGRADED_ERR,P_SCDE_CE4_EWMA_FiltVal,736144.8669,42184.86667,42185.08264,736145.0828,,,,,
150630-2,12493,SCR_EFFICIENCY4_DEGRADED_ERR,P_SCDE_CE4_EWMA_FiltVal,736145.8861,42185.88542,42186.27083,736146.2714,48.90393829,0.791695237,13.63790717,6.393113615,51.42836246
150701-2,12493,SCR_EFFICIENCY4_DEGRADED_ERR,P_SCDE_CE4_EWMA_FiltVal,736146.9103,42186.90972,42187.34444,736147.3448,62.39384079,3.267881393,21.42004728,10.54624787,30.92979813
150702-1,12493,SCR_EFFICIENCY4_DEGRADED_ERR,P_SCDE_CE4_EWMA_FiltVal,736147.3809,42187.38056,42187.8125,736147.8128,112.4023895,2.207754374,22.06397044,12.38321691,26.32423214
150702-2,12493,SCR_EFFICIENCY4_DEGRADED_ERR,P_SCDE_CE4_EWMA_FiltVal,736147.8734,42187.87292,42188.33125,736148.3317,61.50282669,7.05217123,14.45876245,12.01681101,27.33784741
150703-1,12493,SCR_EFFICIENCY4_DEGRADED_ERR,P_SCDE_CE4_EWMA_FiltVal,736148.7864,42188.78611,42188.93889,736148.9391,27.09543991,18.03172684,22.56358337,6.409012977,50.83655471
150706-2,12493,SCR_EFFICIENCY4_DEGRADED_ERR,P_SCDE_CE4_EWMA_FiltVal,736151.8348,42191.83472,42192.23125,736152.2313,59.5421257,0.937933922,9.330028317,6.024167784,54.81642207
150707-1,12493,SCR_EFFICIENCY4_DEGRADED_ERR,P_SCDE_CE4_EWMA_FiltVal,736152.3646,42192.36389,42192.79236,736152.7928,34.94384384,0.985673368,9.665585803,5.706402866,57.84931053
150707-2,12493,SCR_EFFICIENCY4_DEGRADED_ERR,P_SCDE_CE4_EWMA_FiltVal,736152.8775,42192.87708,42193.34167,736153.3418,35.14733124,1.896865964,9.76030309,5.254290544,62.82102145
150708-1,12493,SCR_EFFICIENCY4_DEGRADED_ERR,P_SCDE_CE4_EWMA_FiltVal,736153.4391,42193.43889,42193.78958,736153.79,25.84292793,0.560590744,10.07662063,4.445034263,74.23440187
150708-2,12493,SCR_EFFICIENCY4_DEGRADED_ERR,P_SCDE_CE4_EWMA_FiltVal,736153.8883,42193.88819,42194.16458,736154.1648,12.01474476,1.131363153,4.720079352,2.292954334,144.6866903
150709-1,12493,SCR_EFFICIENCY4_DEGRADED_ERR,P_SCDE_CE4_EWMA_FiltVal,736154.4115,42194.41111,42194.81042,736154.8104,17.27752113,0.485218525,4.587053392,2.878480661,115.2706426
150709-2,12493,SCR_EFFICIENCY4_DEGRADED_ERR,P_SCDE_CE4_EWMA_FiltVal,736154.8817,42194.88125,42195.28472,736155.2848,33.07871246,1.069978118,10.88606029,5.168244675,63.79431844
150710-1,12493,SCR_EFFICIENCY4_DEGRADED_ERR,P_SCDE_CE4_EWMA_FiltVal,736155.3704,42195.37014,42195.76528,736155.7656,34.34202194,1.632205963,11.08655519,5.159583056,63.88845986
